question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_1,ANS_CO_57,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_59,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_63,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_60,1.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_64,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_65,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_66,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_70,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_72,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_77,2.0,3.5,3.5,3.5,3.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_79,0.0,2.0,2.0,2.0,1.9,2.0,2.0,2.0,1.9,2.0,2.0,2.0,1.9,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_69,0.0,0.0,0.2,0.2,0.1,0.0,0.2,0.2,0.1,0.0,0.2,0.2,0.1,-0.2,0.0,0.1,0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2357,0.0,0.0,0.5,0.0,0.166667,0.833333,reject_raise,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.85,0.0,0.85,0.566667,0.433333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_80,1.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_84,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_89,2.0,3.5,3.5,3.5,3.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_90,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_93,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_92,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_95,1.0,2.0,2.0,2.0,1.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_94,2.0,2.5,2.3,2.3,2.2,0.5,0.3,0.3,0.2,0.5,0.3,0.3,0.2,0.2,0.0,0.1,0.1,0.3,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2357,0.0,0.0,0.5,0.0,0.166667,0.833333,reject_lower,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_96,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_97,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_99,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_98,5.0,3.5,4.5,4.5,4.5,-1.5,-0.5,-0.5,-0.5,1.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.7071,0.0,0.0,1.0,0.0,0.333333,0.666667,reject_raise,False,-0.1,lower_blocked_without_core_overcredit_evidence,question_route:CO_1|BND
